__id_std_norm,freq_code,expected_events,unit_labor_hours,unit_labor_cost,unit_material_cost,unit_total_cost,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost
100001,SA,8,0.53440275,37.59,0.0,37.59,4.275222,300.72,0.0,300.72
100002,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100003,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100004,A,4,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,2.8501480000000003,200.48000000000002,0.0,200.48000000000002
100006,SA,8,0.3638615,26.2275,0.0,26.2275,2.910892,209.82,0.0,209.82
100007,SA,7,0.3638615,26.2275,0.0,26.2275,2.5470305,183.5925,0.0,183.5925
100008,SA,8,0.3638615,26.2275,0.0,26.2275,2.910892,209.82,0.0,209.82
100009,A,4,0.3638615,26.2275,0.0,26.2275,1.455446,104.91,0.0,104.91
100010,A,4,0.3638615,26.2275,0.0,26.2275,1.455446,104.91,0.0,104.91
100011,A,4,0.3638595,26.2275,0.0,26.2275,1.455438,104.91,0.0,104.91
100012,SA,8,0.7125370000000001,50.120000000000005,0.0,50.120000000000005,5.700296000000001,400.96000000000004,0.0,400.96000000000004
100013,A,4,0.3638465,26.2275,0.0,26.2275,1.455386,104.91,0.0,104.91
100015,A,4,0.3638615,26.2275,0.0,26.2275,1.455446,104.91,0.0,104.91
100016,A,4,0.3638615,26.2275,0.0,26.2275,1.455446,104.91,0.0,104.91
100017,A,4,0.3638615,26.2275,0.0,26.2275,1.455446,104.91,0.0,104.91
100018,SA,8,0.2442,17.34,0.27666666666666667,17.616666666666667,1.9536,138.72,2.2133333333333334,140.93333333333334
100019,SA,8,0.2442,17.34,0.27666666666666667,17.616666666666667,1.9536,138.72,2.2133333333333334,140.93333333333334
100020,SA,8,0.2442,17.34,0.27666666666666667,17.616666666666667,1.9536,138.72,2.2133333333333334,140.93333333333334
100022,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100023,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100024,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100025,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
100026,A,4,0.2442,17.34,0.27666666666666667,17.616666666666667,0.9768,69.36,1.1066666666666667,70.46666666666667
